отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4356 1740 6096 0.714566929133858 3.43305776452612
#2 4299 1703 6002 0.71626124625125 3.45740062063945
#3 6453 2646 9099 0.70919881305638 3.242020808849
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4223 1779 6001 0.703716047325446 3.26009412025166
#2 4296 1827 6123 0.701616854483097 3.2447841182951
#3 6543 2861 9405 0.695693779904306 3.08469859899916
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4104 1896 6001 0.683886018996834 3.07913919144781
#2 4126 1980 6106 0.675728791352768 3.08435171226172
#3 6012 2856 8867 0.678019623322431 2.93390167162102
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4004 1997 6001 0.667222129645059 3.02366997845864
#2 4029 2047 6076 0.663100724160632 3.00215744202192
#3 6046 2928 8974 0.673724091820816 2.80209938392965
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4010 2005 6015 0.666666666666667 2.89964550538391
#2 3975 2027 6002 0.662279240253249 2.92183098595134
#3 5890 2959 8849 0.665611933551814 2.80250960888813
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 3896 2105 6001 0.649225129145143 2.76487952854951
#2 3862 2177 6039 0.639509852624607 2.76006441065454
#3 5733 3129 8862 0.646919431279621 2.64169819814657
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 3876 2276 6152 0.630039011703511 2.6821227776885
#2 3830 2172 6001 0.638226962172971 2.71684298015433
#3 5773 3436 9210 0.626818675352877 2.54229730780161
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 3739 2430 6168 0.606193255512322 2.59955129047269
#2 3750 2251 6002 0.624791736087971 2.57992872739289
#3 5674 3502 9176 0.618352223190933 2.417355937172
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 3639 2362 6002 0.606297900699767 2.56745696223987
#2 3816 2327 6143 0.621194855933583 2.55393106087974
#3 5417 3548 8964 0.604306113342258 2.36249983855926
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 3573 2543 6116 0.584205362982341 2.42380725347005
#2 3538 2467 6004 0.58927381745503 2.41933008048418
#3 5255 3732 8988 0.58466844681798 2.25324501910002
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 3549 2550 6099 0.581898671913428 2.34338966427445
#2 3470 2532 6001 0.578236960506582 2.39001248311348
#3 5193 3799 8993 0.577449127098855 2.18008984909616
