отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 856 146 1002 0.85429 1.57342
#2 1674 348 2022 0.82789 4.15292304474861
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 819 185 1003 0.81655 1.47657
#2 1581 375 1957 0.80787 3.55209490241566
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 814 190 1003 0.81157 1.43719
#2 1685 389 2075 0.81205 3.57586978795233
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 799 203 1002 0.79741 1.42705
#2 1617 448 2065 0.78305 3.14679162054051
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 783 221 1003 0.78066 1.37995
#2 1518 458 1977 0.76783 2.96347798330281
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 755 247 1002 0.75349 1.29649
#2 1440 473 1913 0.75274 2.80451221618768
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 739 261 1001 0.73826 1.09640
#2 1402 553 1954 0.71750 2.49728988896735
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 730 271 1002 0.72854 1.14633
#2 1458 616 2073 0.70333 2.37952832075996
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 694 306 1001 0.69331 1.16951
#2 1443 645 2087 0.69142 2.28631272287487
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 713 287 1001 0.71229 1.18742
#2 1327 587 1913 0.69367 2.21783026357855
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 640 361 1001 0.63936 1.08914
#2 1293 618 1911 0.67661 2.09395609917991
