отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4032 8073 12105 0.33309 3.83625
#2 2063 3938 6001 0.34378 3.00222674138499
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 3313 8689 12002 0.27604 3.58562
#2 1736 4265 6001 0.28929 2.94702909517417
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 2667 9257 11924 0.22367 3.36760
#2 1487 4514 6001 0.24779 2.8807483183897
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 2169 10076 12245 0.17713 3.18196
#2 1118 4883 6001 0.18630 2.83367779448906
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 1818 10347 12165 0.14945 3.01941
#2 927 5074 6001 0.15447 2.78081645132746
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 1404 10613 12017 0.11683 2.87575
#2 770 5231 6001 0.12831 2.72871098791622
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 1060 10963 12022 0.08817 2.74101
#2 519 5481 6001 0.08649 2.68114674927843
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 822 11337 12159 0.06760 2.62654
#2 427 5575 6002 0.07114 2.63732500093943
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 620 11383 12003 0.05165 2.52262
#2 312 5689 6001 0.05199 2.59386301945704
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 475 11563 12038 0.03946 2.43450
#2 265 5736 6001 0.04416 2.56048424579011
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 404 11795 12199 0.03312 2.35723
#2 195 5806 6001 0.03249 2.52105255304914
