отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 1828 1109 2936 0.622615803814714 6.75751180698566
#2 1826 1154 2981 0.612546125461255 6.74619794875781
#3 1304 697 2001 0.651674162918541 7.29935078948129
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 1909 1093 3003 0.635697635697636 6.97737939702609
#2 1903 1116 3019 0.6303411725737 6.96858063511635
#3 1327 676 2002 0.662837162837163 7.56951932925266
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 1989 1049 3038 0.654707044107966 7.2474043446098
#2 1940 1039 2979 0.651225243370258 7.32391787323659
#3 1333 669 2002 0.665834165834166 7.86299009845509
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 2012 1031 3042 0.661406969099277 7.46384859620309
#2 1996 982 2978 0.670248488918737 7.48056318827353
#3 1334 666 2001 0.666666666666667 8.02924583190283
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 2074 948 3022 0.686300463269358 8.0544702504184
#2 2117 952 3069 0.689801238188335 8.13020920870034
#3 1419 582 2001 0.709145427286357 8.5696046287231
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 2040 876 2917 0.699348645869044 8.28275817874086
#2 2035 884 2918 0.697395476353667 8.33519706721012
#3 1419 582 2001 0.709145427286357 8.76532371878289
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 2078 942 3020 0.688079470198676 8.51556664816345
#2 2178 846 3025 0.72 8.50589252097641
#3 1435 567 2001 0.717141429285357 8.91829465230085
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 2210 854 3064 0.721279373368146 8.86928346727494
#2 2250 856 3106 0.724404378622022 8.86637425083173
#3 1445 556 2001 0.722138930534733 9.5342828596961
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 2117 801 2918 0.725496915695682 9.41493698343367
#2 2141 786 2927 0.731465664502904 9.2713470777568
#3 1514 487 2001 0.756621689155422 9.74738245177497
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 2210 756 2965 0.745362563237774 9.46793873682865
#2 2151 771 2923 0.735887786520698 9.67461217922413
#3 1510 492 2002 0.754245754245754 10.0451418128977
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 2309 753 3062 0.754082299150882 9.77068107618985
#2 2296 772 3068 0.748370273794003 9.95865626006189
#3 1500 502 2002 0.749250749250749 10.4318034473671
