отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4068 1933 6001 0.677887018830195 111.920636943822
#2 40287 19309 59596 0.676001745083563 11.1175442247429
#3 39713 19142 58854 0.67477146837938 5.18449052130615
#4 40127 19191 59319 0.676461167585428 4.38738346269564
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4292 1711 6004 0.714856762158561 33.6786852647042
#2 7303 2731 10034 0.727825393661551 6.49903758160578
#3 7269 2903 10171 0.714678989283256 4.74548835584014
#4 7183 2791 9974 0.720172448365751 4.31927000567007
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 5139 1579 6717 0.76507369361322 24.0481920393347
#2 4679 1417 6096 0.76755249343832 5.55872815687757
#3 4611 1549 6160 0.748538961038961 4.81311532724713
#4 4502 1498 6001 0.750208298616897 4.34311325448739
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 7747 2136 9883 0.783871294141455 19.2533834310942
#2 4710 1314 6024 0.781872509960159 4.84861684320511
#3 4747 1385 6132 0.774135681669928 4.45422061669423
#4 4677 1326 6003 0.779110444777611 4.30919410531922
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 10140 2471 12611 0.804059947664737 16.8332482779598
#2 4824 1177 6002 0.803732089303565 4.74446347336427
#3 4908 1210 6118 0.802222948676038 4.35876441406761
#4 4881 1215 6095 0.800820344544709 4.22126096859788
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 12845 2835 15680 0.819196428571429 15.0968398461314
#2 4934 1068 6002 0.822059313562146 4.563335184452
#3 5068 1061 6129 0.826888562571382 4.39514276429181
#4 5019 1109 6128 0.819027415143603 4.21015823239692
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 15621 3043 18663 0.837003697154798 14.1359456326763
#2 5129 967 6096 0.841371391076115 4.55550761135656
#3 5011 1016 6028 0.831287325812873 4.30532139076265
#4 5003 999 6002 0.833555481506165 4.24890329492489
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 18600 3331 21931 0.848114541060599 13.2365290948852
#2 5140 927 6067 0.847206197461678 4.47372241819915
#3 5246 936 6182 0.84859268845034 4.33441548140862
#4 5090 912 6002 0.848050649783406 4.35803233919873
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 21537 3479 25015 0.860963421946832 12.7695872135339
#2 5260 869 6129 0.85821504323707 4.29493685736297
#3 5201 834 6036 0.861663353214049 4.23988754476815
#4 5153 848 6001 0.85869021829695 4.19879680270367
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 24566 3711 28277 0.86876259857835 12.1736991191579
#2 5285 823 6108 0.865258677144728 4.26859257425543
#3 5315 839 6154 0.863665908352291 4.18720680634116
#4 5183 818 6001 0.863689385102483 4.04092993818631
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 27222 3911 31132 0.874405756135166 11.6528181283547
#2 5255 748 6003 0.875395635515576 4.31267190711059
#3 5257 744 6002 0.875874708430523 4.19336619531096
#4 5348 729 6077 0.880039493170973 4.08645370064583
