отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 5496 507 6003 0.915542228885557 2.91801825720387
#2 16624 1283 17908 0.928300201027474 2.35279545773902
#3 16671 1266 17936 0.929471454058876 11.6309969718267
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 5466 535 6002 0.910696434521826 2.67501941763849
#2 16549 1493 18041 0.917299484507511 2.04115436761199
#3 16579 1546 18125 0.914703448275862 9.55206074663338
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 5311 693 6005 0.884429641965029 2.35333413763493
#2 16081 1714 17794 0.903731594919636 1.85949390934552
#3 15856 1764 17620 0.89988649262202 8.33559555537739
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 5231 773 6004 0.871252498334444 2.19017030083669
#2 15986 2006 17993 0.888456622019674 1.65483063341516
#3 16059 2106 18164 0.884111429200617 7.17717260297079
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 5175 825 6001 0.862356273954341 2.04419760096115
#2 15726 2324 18050 0.871246537396122 1.56378123788837
#3 15711 2267 17977 0.873950047282639 6.56053316334708
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 5025 976 6001 0.837360439926679 1.98631065221319
#2 15764 2541 18305 0.861185468451243 1.46263537279611
#3 15719 2522 18241 0.861740036182227 5.96074127775346
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4970 1030 6001 0.828195300783203 1.88910532120266
#2 15172 2839 18011 0.842374104713786 1.3860563732878
#3 15487 2765 18251 0.848556243493507 5.42229105651082
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4895 1105 6001 0.815697383769372 1.80605309451399
#2 14843 3044 17886 0.829866935032987 1.30118977624274
#3 14906 3029 17935 0.831112350153332 4.92858217348067
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4740 1261 6001 0.789868355274121 1.72806155114016
#2 14681 3256 17937 0.81847577632826 1.25450956100223
#3 14533 3135 17668 0.822560561467059 4.67638400579293
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4695 1306 6001 0.782369605065822 1.65840224508866
#2 14465 3481 17947 0.805984287067476 1.19991427661673
#3 14454 3509 17962 0.804698808595925 4.25960294861757
отказы | обработанные | всего | вероятность отказа | среднее время ожидания
#1 4708 1293 6002 0.784405198267244 1.62622909107406
#2 14521 3863 18384 0.789871627502176 1.17735190431484
#3 14522 3958 18479 0.785865035986796 3.85169355534724
